,id,attributes.channels
339,64347f546cd79dc01fff5a66,voice
340,64347f4a54e9f34dba1af3c8,email
341,64347f4a54e9f3eabe1af3c4,email
342,64347f4739530ea177966201,email
343,64347f3c897e516dc85ae7fa,email
344,64347f34e94dabec8cef7378,email
345,64347f3054e9f37e751aee9d,voice
346,64347f3054e9f30e701aee99,voice
347,64347f2f5edacd475d0930d8,email
348,64347f2bc54b386650ae0742,chat
349,64347f29c54b38f55eae06f2,email
350,64347f29c54b380f74ae06ee,email
351,64347f285edacd6d06092f8f,voice
352,64347f285edacd6d06092f8f,email
353,64347f27a0fa00fb7bc6fe96,voice
354,64347f27a0fa00fb7bc6fe96,sms
355,64347f23ead65811caa6215e,voice
356,64347f20f26ac4e575de584c,chat
357,64347f1b03e0597663cb9762,voice
358,64347f1809d322163170d231,email
359,64347f105edacde9ba092af7,email
360,64347f10ead6587b71a61d61,voice
361,64347f086cd79dba20ff4af8,voice
362,64347f0309d322db0670ce74,email
363,64347f02f92dbfeee1e8c893,voice
364,64347f02f92dbfeee1e8c893,email
365,64347efcf26ac40f8ede5192,email
366,64347efbf593ce31b34530ed,email
367,64347efbf593ce31b34530ed,voice
368,64347efbf593cef0884530e9,
369,64347ef2713cb7005143c764,voice
370,64347ef0ead6583596a61727,email
371,64347ef0ead65883faa61723,email
372,64347ee9897e51867d5ad87d,voice
373,64347ee9897e51f1dd5ad861,voice
374,64347ee809d322338d70c90a,email
375,64347ee4ead6584020a61538,voice
376,64347edbed8c1974f9280dd7,chat
377,64347ed3f593ce7220452883,voice
378,64347ecf5edacd7f17091e93,email
379,64347ec7fd27bd131454cd00,chat
380,64347ebe03e0591c2bcb84dc,email
381,64347ebe03e0591c2bcb84dc,voice
382,64347ebe03e0593b0ccb84d2,voice
383,64347eb36cd79d3383ff3a6a,voice
384,64347eb0ead65845f7a609f2,email
385,64347ea73c36685898f762b2,email
386,64347ea73c36689b94f762ae,chat
387,64347ea41e90c639f5ea01ff,chat
388,64347e96e94dab58a1ef5463,email
389,64347e9439530e8d2c963f2f,email
390,64347e94b57357be07fc0620,voice
391,64347e90fd27bd53bb54c1e8,email
392,64347e8e39530e38c4963e3e,voice
393,64347e8afd27bdbae754c0c5,email
394,64347e83fde4655d01b9823e,email
395,64347e72897e51af855ac147,voice
396,64347e6fead6581cf9a5fdb6,voice
397,64347e6609d322f95370b049,email
398,64347e5803e059ebffcb70e1,voice
399,64347e5803e0593591cb70d3,voice
400,64347e56fd27bd7b6f54b729,email
401,64347e4ba737f47a34de455a,
402,64347e4ba737f44160de4556,voice
403,64347e4a4093dc60a1c7e0ce,email
404,64347e4a4093dca470c7e0c9,email
405,64347e48fde4652b55b97620,voice
406,64347e4554e9f3a2f21ac14a,voice
407,64347e454eabdb971615e93c,voice
408,64347e40713453baa0940ab4,voice
409,64347e3b39530ee68d962e21,email
410,64347e3b6cd79d6dfaff2272,voice
411,64347e3b6cd79d6dfaff2272,email
412,64347e39a737f4caafde4210,email
413,64347e38fde465b580b972d5,email
414,64347e33f26ac42950de2b39,chat
415,64347e2e713cb7559143a10d,email
416,64347e2c5edacdcd7908fec7,voice
417,64347e1ae94dab69adef3c6e,email
418,64347e0f7134533067940030,email
419,64347e0ef92dbf55aae896cd,voice
420,64347e03fde465481ab967fe,
421,64347e02a737f42c52de376b,voice
422,64347e02a737f42c52de376b,email
423,64347df5fd27bd5f1b54a4ba,chat
424,64347def897e515b115aa868,voice
425,64347dea23dba51132fd016b,email
